,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
47,"HP
4.2","Data Scientist, Digital Marketing, Testing",Tlaquepaque,"Applies advanced subject matter knowledge to solve complex business issues and is regarded as a subject matter expert. Frequently contributes to the development of new ideas and methods. Works on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors. Leads and/or provides expertise to functional project teams and may participate in cross-functional initiatives. Acts as an expert providing direction and guidance to process improvements and establishing policies. Frequently represents the organization to external customers/clients. Exercises significant independent judgment within broadly defined policies and practices to determine best method for accomplishing work and achieving objectives. May provide mentoring and guidance to lower level employees.
Responsibilities
Mines data using modern tools and programming languages.
Defines and implements models to uncover patterns and predictions creating business value and innovation.
Manages relationships with business partners to evaluate and foster data driven innovation, provide domain-specific expertise in cross-organization projects/initiatives.
Ties insights into effective visualizations communicating business value and innovation potential.
Maintains proficiency within the data science domain by keeping up with technology and trend shifts. Contributes to industry data science domain initiatives.
Leads project team(s) of data science professionals, assuring insights are communicated regularly and effectively, reviewing designs, models and accuracy and data compliance.
Collaborates and communicates with project team regarding project progress and issue resolution.
Communicates and drives data insights/innovation into the business.
Represents the data science team for all phases of larger and more-complex development projects.
Provides guidance, training and mentoring to less experienced staff members.
Knowledge & Skills
Extensive experience using statistics, mathematics, algorithms and programming languages to solve big data challenges.
Fluent in structured and unstructured data, its management, and modern data transformation methodologies.
Ability to define and create complex models to pull valuable insights, predictions and innovation from data.
Effectively and creatively tell stories and create visualizations to describe and communicate data insights.
Strong analytical and problem-solving skills.
Excellent written and verbal communication skills; mastery in English and local language.
Ability to effectively communicate data insights and negotiate options at senior management levels.
Scope & Impact
Collaborates with peers, junior engineers, data scientists and project team.
Typically interacts with high- level Individual Contributors, Managers, Directors and Program Core Teams.
Leads multiple projects requiring data engineering solutions development.
Drives design innovation.
Education & Experience
Bachelor's, Master's or PHD degree in Mathematics, Economics, Physics, Computer Science, or equivalent.
Typically 6-10 years’ experience including graduate or postgraduate research.

About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.
So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.
From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!
Mostrar menos
Reportar",#N/A,Más de 10 000 empleados,Empresa - pública,Tecnologías de la información,Desarrollo de equipos informáticos,1939,Desconocido/no corresponde
48,"Axented
4.6",Data Engineer,Trabajo desde casa,"We are looking for a Data Engineer to join our data engineering and data science practice. This group is responsible for sourcing data from our internal systems, partners, industry datasets, etc. and delivering it into a consumable and maintainable data warehouse to facilitate decision making by our internal stakeholders using various analytics tools.

The Job Details:
Create and maintain an optimal data pipeline architecture.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Design and implement various data flow automations using various tools and technologies.
Build optimal ETL jobs and pipelines from a variety of data sources using SQL, REST APIs, Azure Data technologies, Microsoft Power Platform technologies and Python
Build analytical dashboards and reports using BI and reporting tools to provide actionable insights
Work with various stakeholders to gather requirements and provide operational support for our data warehouse, reports and dashboards
Keep our data separated and secure across national boundaries through multiple data centers and Azure and OCI cloud regions.
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics experts to strive for greater functionality in our data systems.
Education
Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field.

Experience
2+ years of experience as a Data Engineer
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with unstructured datasets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.
Experience supporting and working with cross-functional teams in a dynamic environment.
Experience with stream-processing systems: Storm, Spark-Streaming, etc.
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Mostrar menos
Reportar",#N/A,De 51 a 200 empleados,Empresa - privada,Tecnologías de la información,Soporte informático,2010,Desconocido/no corresponde
49,"EPAM Systems
4.5",Data Scientist,Trabajo desde casa,"EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.
DESCRIPTION

You are curious, persistent, logical and clever – a true techie at heart. You enjoy living by the code of your craft and developing elegant solutions for complex problems. If this sounds like you, this could be the perfect opportunity to join EPAM as a Data Scientist . Scroll down to learn more about the position’s responsibilities and requirements.

We are passionate about delivering value to our customers and that is the reason we are searching for people with the same mindset to join our team!

We are looking for a talented Data Scientist, to help us discover the information hidden in vast amounts of data. This motivated genius will be also applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.

RESPONSIBILITIES
Develop machine learning models using Amazon SageMaker and other machine learning tools
Conduct data analysis and provide data-driven insights to support decision-making processes
Collaborate with team members from various disciplines such as data engineering, software engineering, and product management to develop and maintain data pipelines and workflows
Provide technical support to non-technical stakeholders and users to ensure data accuracy and consistency

REQUIREMENTS
3+ yrs as Data Scientist
Hands-on data science experience
Expertise on ML model development on AWS SageMaker
Comfortable working on analysis, modeling, testing, and evaluation of ML Models

TECHNOLOGIES
Amazon SageMaker
Other machine learning tools

WE OFFER
Career plan and real growth opportunities
Unlimited access to LinkedIn learning solutions
International Mobility Plan within 25 countries
Constant training, mentoring, online corporate courses, eLearning and more
English classes with a certified teacher
Support for employee’s initiatives (Algorithms club, toastmasters, agile club and more)
Enjoyable working environment (Gaming room, napping area, amenities, events, sport teams and more)
Flexible work schedule and dress code
Collaborate in a multicultural environment and share best practices from around the globe
Hired directly by EPAM & 100% under payroll
Law benefits (IMSS, INFONAVIT, 25% vacation bonus)
Major medical expenses insurance: Life, Major medical expenses with dental & visual coverage (for the employee and direct family members)
13 % employee savings fund, capped to the law limit
Grocery coupons
30 days December bonus
Employee Stock Purchase Plan
12 vacations days plus 3 floating days
Official Mexican holidays, plus 5 extra holidays (Maundry Thursday and Friday, November 2nd, December 24th & 31st)
Relocation bonus: transportation, 2 weeks of accommodation for you and your family and more
Monthly non-taxable amount for the electricity and internet bills

CONDITIONS
By applying to our role, you are agreeing that your personal data may be used as in set out in EPAM´s Privacy Notice (https://www.epam.com/applicant-privacy-notice) and Policy (https://www.epam.com/privacy-policy)
Mostrar menos
Reportar",#N/A,Más de 10 000 empleados,Empresa - pública,Tecnologías de la información,Soporte informático,1993,De $1000 a $5000 millones (USD)
50,"Netatech
2.1",Data Engineer,Trabajo desde casa,"LATIN AMERICA RESIDENTS ONLY
About the role
We are seeking to expand our data reporting capabilities by improving our ability to store, process, compute, and rapidly retrieve many different views of our existing datasets. To that end, we are seeking a Data Engineer to help build out this approach to rapid data reporting at scale.
The Data Engineer will work closely with established team members and become familiar with our business, the domain, and our existing data systems. The focus will be to build new data management systems and improve our existing ones.

Years of Experience - 5+
Languages - English C1+
Required Technologies - C#, .net, PostgreSQL, API, Azure

Your Responsibilities
Building and managing data warehouses or data lakes
Develop and maintain data architecture and data models
Ensure data quality and consistency across all data sources
Implement and manage data security protocols and access controls
Collaborate with prdouct owners, analysts, and other stakeholders to understand their data needs, build supporting systems, and provide structured data for reports
Monitor and troubleshoot data pipelines and infrastructure
Evaluate and implement new data tools and technologies to improve the efficiency and scalability of data infrastructure
Ensure compliance with data security, governance, and privacy regulations
Develop and maintain documentation related to data infrastructure and data systems
Guide the design and work with the cloud team to construct and maintain data infrastructure
Develop and implement ETL pipelines to move and transform data from various sources to internal data structures

Our Ideal Candidate
You will be someone who has experience building well-designed, performant and effective applications in support of complex business rules/flows and be interested in taking a hands on approach to defining and implementing such a solution.

We need you to have the following technical skills:
C#/.NET
Partitioning and sharding using PostgreSql
Working with Microsoft Azure data storage and processing technologies (e.g., Data Factory, Data Bricks, Data Lake, etc.)
Querying and ingesting data from third-party APIs
Writing complex SQL queries and optimizing database performance in both relational and non-relational databases

You will have a strong background in relational database design, optimization, and development and building out scalable, distributed, production systems

Having communication skills and the ability to work collaboratively with cross-functional teams, including data scientists, analysts, and other stakeholders is really important to us as this role supports all teams across the organization.

You will be a troubleshooter, someone who really enjoys solving problems in complex data systems
Mostrar menos
Reportar",#N/A,De 51 a 200 empleados,Empresa - privada,Agrario,Servicios de apoyo al sector agrario,#N/A,Desconocido/no corresponde
51,"HP
4.2","Data Scientist, Experimentation & Optimization",Tlaquepaque,"Applies advanced analytics subject matter knowledge to solve complex business issues and is regarded as a subject matter expert. Frequently contributes to the development of innovative ideas and methods. Works on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors. Leads and/or provides expertise to functional project teams and may participate in cross-functional initiatives. Acts as an expert providing direction and guidance to process improvements and establishing policies. Frequently represents the organization to external customers/clients. Exercises significant independent judgment within broadly defined policies and practices to determine best method for accomplishing work and achieving objectives. May provide mentoring and guidance to lower-level employees.
Responsibilities:
Lead the design and implementation of the conversion insights and experimentation platform
Build and evolve tools that enable us to evaluate and interpret experimental data at scale including optimization across web and mobile surfaces
Partner with product managers and data scientists to define the technical roadmap and vision of experimentation
Advise leadership team on key technical considerations related to the future of our technology stack and product roadmap
Debug production issues across multiple channels
Based on appropriate analysis, provide value-added business performance analytics and optimization recommendations that enable continuous improvement across the organization to drive incremental productivity.
Research and evaluate opportunity to apply common methods and frameworks across analytic projects to allow for reuse of modelling and more efficient solutions to marketing needs.
Recommend go-to-market actions based on analytical findings to senior leaders.
Work with business teams to develop comprehensive understanding of investment opportunities/trade-offs and translate that understanding into detailed requirements.
Manage internal and external resources to ensure that campaigns are executed accurately, effectively and within budget.
Education and Experience Required:
3+ years' experience in experimentation design, A/B testing, propensity score analysis, linear regression modelling and/or probabilistic modelling at scale
BA or BS in Data Science or related field; Masters preferred.
7+ years marketing and project management or operational experience.
Experience in Marketing database such as MRM or CRM applications; statistics background a plus.
Advanced statistics background for analytical positions preferred (advanced degree with research and statistical focus background).
Knowledge and Skills:
Proven ability to make trade-offs in the face of uncertainty
Advanced experience and quantifiable results with Optimizely, Test & Target, GA360 testing tools.
Expert knowledge of marketing principles, practices, tactics and tools.
In-depth knowledge of marketing activities and practices and procedures.
In-depth knowledge of and/or experience in business and marketing strategies.
Excellent written/oral communications and analytical skills.
Excellent interpersonal and project management skills; ability to build and manage virtual teams.
Excellent negotiating and change management skills.
Ability to interface effectively with management team and functional disciplines.
Excellent influencing and consensus-building skills.
Excellent execution skills.

About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.
So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.
From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!
Mostrar menos
Reportar",#N/A,Más de 10 000 empleados,Empresa - pública,Tecnologías de la información,Desarrollo de equipos informáticos,1939,Desconocido/no corresponde
52,"BairesDev
4.0",Big Data Scientist - Remote Work,Guadalajara,"Who We are
BairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.
We are looking for Big Data Scientists for home-based modality to join our Development team and participate in different projects made up of multicultural teams distributed throughout the world. We are looking for proactive people, team players passionate about programming in this language and oriented to provide the best experience to the end user. This is an excellent opportunity for those professionals looking to develop in one of the fastest growing companies in the industry!
These developers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices, etc.
What You’ll Do:
Work together with developers, tech leads and solution architects to build applications.
Improve existing structures by adding new functionalities or proposing technological updates so that as a result, the impact of your contribution is significant in the core of each business.
The result of your work will also allow you to improve the user experience on scalable and high availability platforms, contributing to the key differential of each business.
Here’s what we are looking for:
6+ years of experience working as a developer.
5+ years of experience in Big Data.
Proficient with analysis, troubleshooting, and problem solving.
Hands-on experience with managing data loads and data quality a plus.
Advanced English level.
How we do make your work (and your life) easier:
100% remote work.
Hardware setup for you to work from home.
- Flexible hours - make your schedule.
Paid parental leave, vacation & holidays.
Diverse and multicultural work environment.
An innovative environment with the structure and resources of a leading multinational.
Excellent compensation — well above the market average.
Here you can grow at the speed of your learning curve.
Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.
Every BairesDev team member brings something unique to our company.
We want to hear your story. Apply now!
Mostrar menos
Reportar",#N/A,De 1001 a 5000 empleados,Empresa - privada,Tecnologías de la información,Soporte informático,2009,De $100 a $500 millones (USD)
53,"UST
3.9",Senior Data Scientist,Ciudad de México,"Data Engineer
Data Scientist II
Who we are:
Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world.
UST is a mission-driven group of over 29,000+ practical problem solvers and creative thinkers in over 30+ countries. Our entrepreneurial teams are empowered to innovate, act nimbly, and create a lasting and sustainable impact for our clients, their customers, and the communities in which we live.
With us, you’ll create a boundless impact that transforms your career—and the lives of people across the world.
Visit us at UST.com .
You Are:
We are seeking an experienced Data Engineer with a focus on synthetic data generation to join our collaborative team. The ideal candidate will be responsible for creating and maintaining robust synthetic data processes and models to simulate flagged financial transactions. This role also encompasses broad data engineering responsibilities including data management, ETL processes, data storage and retrieval, and data anonymization, all while ensuring compliance with data privacy regulations.
The Opportunity :
Design, build, and maintain synthetic data models that effectively simulate flagged transactions for auditing and algorithm improvement.
Collaborate with cross-functional teams, including data science and auditing, to understand requirements and produce synthetic data sets that align with operational data.
Implement data anonymization techniques to comply with data privacy laws such as GDPR and CCPA.
Architect, build, and optimize data pipelines, databases, and ETL processes to manage data flow from numerous sources
Establish and maintain secure data storage solutions in cloud databases, data lakes, or data warehouses.
Regularly assess and enhance data retrieval systems for performance and cost efficiency
Monitor data quality, perform data cleaning, and ensure the integrity and reliability of synthetic data.
Develop clear, comprehensive documentation of data engineering processes, systems, and algorithms. Education, experience, and skills required
This position description identifies the responsibilities and tasks typically associated with the performance of the position. Other relevant essential functions may be required.
What you need:
Bachelor's or Master's degree in Computer Science, Data Science, or a similar field.
Proven experience as a Data Engineer with a focus on synthetic data generation and data anonymization.
Proficiency in SQL, NoSQL databases, and data modeling, along with experience in data lakes and data warehousing solutions.
Familiarity with programming languages used for data processing, such as Python or R.
Knowledge of data privacy regulations, including GDPR and CCPA.
Experience with cloud platforms (AWS, GCP, Azure) and big data technologies (Hadoop, Spark) preferred.
Strong analytical and problem-solving skills, attention to detail, and excellent communication skills.
Knowledge of data visualization tools like Tableau or Power BI.
What we believe :
We’re proud to embrace the same values that have shaped UST since the beginning. Since day one, we’ve been building enduring relationships and a culture of integrity. And today, it's those same values that are inspiring us to encourage innovation from everyone to champion diversity and inclusion and to place people at the center of everything we do.
Humility:
We will listen, learn, be empathetic, and help selflessly in our interactions with everyone.
Humanity:
Through business, we will better the lives of those less fortunate than ourselves.
Integrity:
We honor our commitments and act with responsibility in all our relationships.
Equal Employment Opportunity Statement

UST is an Equal Opportunity Employer.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
UST reserves the right to periodically redefine your roles and responsibilities based on the requirements of the organization and/or your performance.
Mostrar menos
Reportar",#N/A,Más de 10 000 empleados,Empresa - privada,Tecnologías de la información,Soporte informático,1999,De $1 a $5 millones (USD)
54,"DataArt
4.6",Software Engineer (Python or Java),Monterrey,"Monterrey
Montevideo
Remote.Brazil
Remote.Colombia
Remote.LATAM
Small team (1-10 people)
Project overview
The Advanced Analytics management team is a transformational team in one of our clients whose objective is to generate measurable value that lasts over time across all areas of the company. To achieve this, custom data products are created based on analytical models, mostly from ML but being able to use a broader spectrum of techniques; either by delivering new analytical capabilities to the areas we work with or by directly interacting with their systems.

The development of the products and the associated change management is carried out using Agile methodologies (development) that incorporate the scientific method and LEAN tools (change management). To ensure the correct execution of our products, we work with an MLOps environment.
Team
Within the multidisciplinary team made up of Data Scientists, Analytics Translators, Scrum Masters, DevOps, ML Engineers, the role of the Software Engineer is tremendously important for the team since they are the one who manages and implements the business logic on top of our data sources so that end users to consume information generated from the data.


The work is collaborative, both within the work cell and across all team members, as well as with project partners, data custodians, and business users who must find sources of information that allow them to make sense of and find the different patterns that allow predicting phenomena to generate measurable value and achieve transformation.
Requirements
Proficiency in the Python or Java programming language and its core libraries.
Solid understanding of software development principles, design patterns, and data structures.
Experience with data-driven development (DDP)
Experience as a Data Software Engineer (nice to have)
Experience with object-oriented programming (OOP)
Experience with version control systems (e.g., Git) and collaborative development workflows.
Strong problem-solving skills and a proactive approach to challenges.
Excellent communication skills and the ability to work effectively in a team environment.
Familiarity with front-end technologies (HTML, CSS, JavaScript) and databases (e.g., MySQL, PostgreSQL).
Experience with cloud services, specifically Google Cloud Platform (GCP)

We offer
Vacation
As per the laws of your country. We do ask you to take a proper rest
Health insurance
We help you to take out an insurance policy for you and your loved ones
Sick pay
10 days without a doctor's note, afterwards - as per the laws of your country
EQUAL OPPORTUNITIES
Time off for state holidays
According to the official calendar, regardless of the client’s schedule
Pleasant environment
Two large corporate parties and many small get-togethers for colleagues
Comfort service
Solving technical and everyday problems at work
Mostrar menos
Reportar",#N/A,De 5001 a 10 000 empleados,Empresa - privada,Tecnologías de la información,Soporte informático,1997,De $100 a $500 millones (USD)
55,"Thermo Fisher Scientific
3.7","Engineer I, Software",Tijuana,"Job Description
All of our employees share a common set of values - Integrity, Intensity, Innovation and Involvement. Our ability to grow year after year is driven by our ability to attract, develop and retain world-class people who will thrive in our environment and share in our desire to improve mankind by enabling our customers to make the world healthier, cleaner and safer.
If you share in our values and if you''re looking for an employer who is strongly committed to developing talent and rewarding achievement, come grow with us at Thermo Fisher Scientific.
The software services team is tasked with applying industry best practices to the design, development, testing and deployment world-class software products. We are looking to hire individuals with experience with software development and integration in clinical and research settings, and who can help us solve the next wave of technical challenges using the latest cloud-based, big-data, and rich analytics tool sets.
You should be versed and comfortable spanning the full development lifecycle, from requirements identification and prototyping, through design and implementation, to customer acceptance and delivery. You are especially passionate about crafting excellent software designs and participating in an Agile/SCRUM setting to meet and exceed customer expectations. You like the idea of partnering with scientists, analytical chemists and bioinformaticians to create outstanding clinical and research solutions. You welcome the challenge of working in a fast-paced, discovery-oriented environment and will be genuinely excited about the prospect of creatively exercising your problem solving skills on a continuous basis with an eye to ultimately improving the human condition.
What will you do?
Design, develop, test, deploy, administrate, and maintain database, data transformation, data visualization, reporting, and medical information systems and platforms.
Responsible for initial design and development of new software and/or extensive software revisions.
Represent the team in cross-organizational development forums as well as customer requirements gathering and software validation and training sessions.
Rely on extensive experience and judgment to understand complex problems and resolve them efficiently.
Participate in training and orienting new software engineers as they join the team.
How will you get here?
Education
High school diploma or GED equivalency and 0-2 years of experience.
Experience
Excited about building world-class software solutions that improve lives.
Significant understanding of object oriented design and programming.
0-2 years of solid hands experience with Java; other languages (C++,C#, Ruby, Python will be considered).
0-2 years JavaScript, HTML5/CSS.
Experience using Agile software development methodologies.
Prior exposure to scripting languages (e.g. PowerShell, Perl, Bash) on Windows or Linux.
Experience, instincts, and enthusiasm around testing and testability.
Experience with JavaScript Testing frameworks (mocha/jasmine, protractor/selenium, karma).
Experience working with geographically distributed team.
Excellent verbal and written communication skills.
Web Service design experience: SOAP Request/Response handling, authentication, REST APIs .
Experience with databases, persistence frameworks, and SQL.
Exposure to developing multi-tier, scalable, and browser based applications. Cloud-based applications leveraging AWS is highly preferred.
Experience with Agile development methodologies (Scrum/XP).
Cloud Experience
Strong Web 2.0 experience essential, including use of OO Javascript, Ajax, JS libraries (eg ExtJs/jQuery/DOJO/ etc) Bootstrap, HTML 5, CSS, JSON, strong understanding of browser compatibility issues.
Knowledge of user interface frameworks such AngularJS and JQuery. Kendo UI, REST AP.
Experience with JavaScript, HTML5/CSS.
Mostrar menos
Reportar",#N/A,Más de 10 000 empleados,Empresa - pública,Farmacéutica y biotecnología,Biotecnología e industria farmacéutica,1902,Más de $10 000 millones (USD)
56,Working-Mexico-Headhunter,Data Analytics,Trabajo desde casa,"Resumen de la vacante
Salario: Entre $60,000 a $80,000 brutos (según experiencia)
Localidad: Remoto
Duración: Tiempo Completo
Descripción
Buscamos Data Analytics para empresa de tecnología con operaciones a nivel mundial para trabajar de forma Remota desde cualquier parte del país.
ACTIVIDADES
Implementar, mejorar y mantener las soluciones basadas en SQL, SAS y Power BI.
Trabajar con analistas de productos, científicos de datos, usuarios comerciales, clientes y otros para comprender sus necesidades y encontrar soluciones integrales end to end.
Traducir los requisitos comerciales en tareas de datos procesables
Diseñar y desarrollar turn key ETL pipelines escalables.
Crear un modelo de datos para las necesidades de BI / Analytics que ayudará al cliente a responder preguntas comerciales para casos de uso identificado.

Requisitos
REQUISITOS
+ 2 años de experiencia realizando actividades en Data Analytics, Data Analyst (Analista de Datos), Data Mining (Minería de datos), Modeling (Modelos), Data Scientist (Científico de Datos), en empresas del sector aseguradoras o bancario
Conocimiento en: SAS, SQL, Power BI.
INGLÉS: AVANZADO
CONOCIMIENTOS TÉCNICOS
Sistema de gestión de bases de datos relacionales (RDBMS)
Data Warehousing.
SQL: Joins (Inner, Left Outer, Right Outer, Full Outer y Cross), Windows / Analytic SQL functions.
SAS: (Preferred: Proc SQL, SAS Enterprise Guide)
Power BI

HABILIDADES
Sólida capacidad analítica.
Enfoque práctico empresarial.
Excelentes habilidades de comunicación verbal y escrita en inglés.
Capacidad para comprender las diferencias interculturales y pueda trabajar con clientes de todo el mundo.

CARRERAS
Licenciatura o Ingeniería en matemáticas, informática, actuaría, física, estadística o áreas analíticas relacionadas.

Oferta
Prestaciones Superiores
Mostrar menos
Reportar","$70,000 /año (est.)",De 1 a 50 empleados,Empresa - privada,#N/A,#N/A,#N/A,Desconocido/no corresponde
57,"Citi
3.9",Data Scientist Sr Analyst,Ciudad de México,"The Business Analytics Int Analyst is a developing professional role. Deals with most problems independently and has some latitude to solve complex problems. Integrates in-depth specialty area knowledge with a solid understanding of industry standards and practices. Good understanding of how the team and area integrate with others in accomplishing the objectives of the sub function/ job family. Applies analytical thinking and knowledge of data analysis tools and methodologies. Requires attention to detail when making judgments and recommendations based on the analysis of factual information. Typically deals with variable issues with potentially broader business impact. Applies professional judgment when interpreting data and results. Breaks down information in a systematic and communicable manner. Developed communication and diplomacy skills are required in order to exchange potentially complex/sensitive information. Moderate but direct impact through close contact with the businesses' core activities. Quality and timeliness of service provided will affect the effectiveness of own team and other closely related teams.

Responsibilities:
Gathers operational data from various cross functional stakeholders to examine past business performance.
Identifies data patterns & trends, and provides insights to enhance business decision making capability in business planning, process improvement, solution assessment etc.
Recommends actions for future developments & strategic business opportunities, as well as enhancements to operational policies.
May be involved in exploratory data analysis, confirmatory data analysis and/or qualitative analysis.
Translate data into consumer or customer behavioral insights to drive targeting and segmentation strategies, and communicate clearly and effectively to business partners and senior leaders all findings
Continuously improve processes and strategies by exploring and evaluating new data sources, tools, and capabilities
Work closely with internal and external business partners in building, implementing, tracking and improving decision strategies
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

Qualifications:
2-5 years relevant experience
Advanced process management skills, organized and detail oriented
Curious about learning and developing new skillsets
Positive outlook with a can-do mindset

Education:
Bachelors/University degree or equivalent experience

This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.
Decision Science es un área en dónde analizamos grandes volúmenes de datos de diversas fuentes, con técnicas de análisis innovadoras, combinadas con nuevas plataformas tecnológicas y modelos de última generación, dando soluciones o áreas de oportunidad al negocio.
Diseñamos e implementamos nuevas estrategias con el fin de dar un mejor servicio a nuestros clientes, desarrollamos estrategias para productos de crédito al consumo y captación, proponemos y comprendemos KPI’s para presentar resultados sintetizados a alta dirección.
Responsabilidades:
Análisis, desarrollo e implementación de modelos que mejoren la experiencia del cliente y con alto impacto en el negocio.
Responsable del cumplimiento de la política de desarrollo, validación, implementación y monitoreo de modelos.
Proponer fuentes de información alternativas e innovadoras
Investigación para proponer soluciones de vanguardia referentes al ciclo de vida de los modelos.
Conciliación y negociación entre las áreas involucradas del Banco (Producto, Segmento, Riesgo, Finanzas, Cross sell, Overlap, Pricing, Modelling, Testing etc.)
Identificar oportunidades de alto impacto y proponga estrategias que se traducirán en crecimiento de cartera y Revenue, a través de técnicas y modelos estadísticos avanzados.
Valoración y seguimiento de iniciativas de alto impacto.
Resumir los hallazgos clave y presentarlos a la alta dirección.
Requisitos:
Licenciado en Actuaría, Matemáticas, Ingeniería, Economía o afines. (Carrera terminada/Titulo deseable).
Indispensable experiencia profesional en paquetes estadísticos (SAS Avanzado, SQL, R Intermedio y Python intermedio, Spark deseable).
Experiencia de al menos 1 año en aprobación y monitoreo de modelos estadísticos, deseable uso de técnicas Machine Learning.
Deseable 2 años de experiencia (indispensable 1 año) en sector Financiero, en proyectos como data scientist con antecedentes de gestión de proyectos multidisciplinarios.
Nivel de inglés: Avanzado (altamente deseable)
Habilidades:
Fuertes habilidades analíticas
Capacidad para traducir números en estrategias accionables.
Gestión de proyectos; conocimiento ágil y scrum: deseable, establecimiento de prioridades.
Habilidades intermedias en Excel y Power Point.
Habilidades de negociación, liderazgo: capacidad de crear sinergias con otros equipos, colaborativo, proactivo y creativo.
Conocimiento de los productos de banca de consumo: deseable.
Resiliencia y adaptación a los cambios.
-
Job Family Group:
Decision Management
-
Job Family:
Business Analysis
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting
Mostrar menos
Reportar",#N/A,Más de 10 000 empleados,Empresa - pública,Finanzas,Gestión de activos e Inversiones,1812,Más de $10 000 millones (USD)
